question_id,chapter_id,chapter_name,concept_id,concept_name,difficulty,question_type,prompt,answer,tags,estimated_time_sec,source
q_tb_factorisation_remainder_001,ch_polynomials,Polynomials,c_factorisation_remainder,Factorisation and Remainder Theorem,hard,verification,"If p(x) = (x - -1)(x - 1)(x - -3), find the remainder when p(x) is divided by x + 1.",0,polynomials|remainder_theorem|textbook_variant|textbook_bootstrap,180,textbook_bootstrap
q_poly_004,ch_polynomials,Polynomials,c_factorisation_remainder,Factorisation and Remainder Theorem,medium,verification,"Check whether x - 2 is a factor of p(x) = x^3 - 4x^2 + x + 6. If it is, write one complete factorization.",Yes; p(x) = (x - 2)(x - 3)(x + 1),polynomials|factor_theorem|factorization,180,synthetic_curated
q_poly_001,ch_polynomials,Polynomials,c_polynomial_degree_terms,Polynomial Degree and Terms,easy,short_answer,State the degree of the polynomial 5x^4 - 3x + 1 and identify its leading coefficient.,"Degree = 4, leading coefficient = 5",polynomials|degree|coefficients,75,synthetic_curated
q_tb_polynomial_degree_terms_001,ch_polynomials,Polynomials,c_polynomial_degree_terms,Polynomial Degree and Terms,easy,short_answer,Identify the degree and leading coefficient of p(x) = 3x^6 - 4x^2 + 11.,"Degree = 6, leading coefficient = 3",polynomials|degree|leading_coefficient|textbook_bootstrap,90,textbook_bootstrap
q_poly_006,ch_polynomials,Polynomials,c_zero_coeff_relationship,Relationship Between Zeroes and Coefficients,hard,construction,Write a monic quadratic polynomial whose sum of zeroes is 7 and product of zeroes is 10.,x^2 - 7x + 10,polynomials|coefficients|construction,120,synthetic_curated
q_poly_003,ch_polynomials,Polynomials,c_zero_coeff_relationship,Relationship Between Zeroes and Coefficients,medium,construction,Construct a quadratic polynomial whose zeroes are 2 and -3.,x^2 + x - 6,polynomials|roots|construction,120,synthetic_curated
q_tb_zero_coeff_relationship_001,ch_polynomials,Polynomials,c_zero_coeff_relationship,Relationship Between Zeroes and Coefficients,medium,construction,Construct a monic quadratic polynomial whose sum of zeroes is 7 and product of zeroes is 10.,x^2 - 7x + 10,polynomials|coefficients|construction|textbook_bootstrap,120,textbook_bootstrap
q_poly_002,ch_polynomials,Polynomials,c_zeroes_of_polynomial,Zeroes of a Polynomial,easy,numerical,Find the zeroes of x^2 - 5x + 6.,2 and 3,polynomials|zeroes|factorization,90,synthetic_curated
q_tb_zeroes_of_polynomial_001,ch_polynomials,Polynomials,c_zeroes_of_polynomial,Zeroes of a Polynomial,medium,algebraic,Find the zeroes of x^2 - 3x - 10.,-2 and 5,polynomials|zeroes|factorisation|textbook_bootstrap,150,textbook_bootstrap
q_tb_classical_probability_001,ch_probability,Probability,c_classical_probability,Classical Probability,easy,probability,A fair die is thrown once. Find the probability of getting a number greater than 4.,1/3,probability|classical_definition|textbook_bootstrap,90,textbook_bootstrap
q_tb_classical_probability_002,ch_probability,Probability,c_classical_probability,Classical Probability,easy,probability,A card is drawn from a well-shuffled deck of 52 playing cards. Find the probability that the card drawn is a king.,1/13,probability|classical_definition|cards|textbook_bootstrap,120,textbook_bootstrap
q_tb_classical_probability_003,ch_probability,Probability,c_classical_probability,Classical Probability,medium,probability,One card is drawn from cards numbered 1 to 20. Find the probability that the number is a multiple of 3 or 5.,9/20,probability|classical_definition|counting|textbook_bootstrap,150,textbook_bootstrap
q_tb_discriminant_nature_roots_001,ch_quadratic_equations,Quadratic Equations,c_discriminant_nature_roots,Discriminant and Nature of Roots,medium,reasoning,Find the discriminant of 3x^2 - 5x + 2 = 0 and state the nature of its roots.,Discriminant = 1; roots are two distinct real roots,quadratic_equations|discriminant|textbook_bootstrap,120,textbook_bootstrap
q_tb_discriminant_nature_roots_002,ch_quadratic_equations,Quadratic Equations,c_discriminant_nature_roots,Discriminant and Nature of Roots,medium,reasoning,"Without solving the equation, state the nature of roots of 4x^2 + 4x + 1 = 0.",Real and equal roots,quadratic_equations|discriminant|nature_of_roots|textbook_bootstrap,120,textbook_bootstrap
q_tb_quadratic_applications_001,ch_quadratic_equations,Quadratic Equations,c_quadratic_applications,Situational Problems on Quadratic Equations,hard,application,The product of two consecutive positive integers is 72. Form the quadratic equation and find the integers.,8 and 9,quadratic_equations|word_problem|textbook_bootstrap,210,textbook_bootstrap
q_tb_quadratic_applications_002,ch_quadratic_equations,Quadratic Equations,c_quadratic_applications,Situational Problems on Quadratic Equations,hard,application,A rectangular garden has area 60 m^2 and its length is 7 m more than its breadth. Find its dimensions.,"Breadth = 5 m, Length = 12 m",quadratic_equations|word_problem|geometry_application|textbook_bootstrap,240,textbook_bootstrap
q_tb_quadratic_factorization_001,ch_quadratic_equations,Quadratic Equations,c_quadratic_factorization,Quadratic Equations by Factorization,easy,algebraic,Solve x^2 - 9x + 20 = 0 by factorisation.,x = 4 or x = 5,quadratic_equations|factorisation|textbook_bootstrap,120,textbook_bootstrap
q_tb_quadratic_factorization_002,ch_quadratic_equations,Quadratic Equations,c_quadratic_factorization,Quadratic Equations by Factorization,medium,algebraic,Solve 3x^2 - 13x + 12 = 0 by factorisation.,x = 3 or x = 4/3,quadratic_equations|factorisation|middle_term_split|textbook_bootstrap,180,textbook_bootstrap
q_tb_quadratic_formula_002,ch_quadratic_equations,Quadratic Equations,c_quadratic_formula,Quadratic Formula,hard,algebraic,Solve 6x^2 - x - 2 = 0 using the quadratic formula and simplify the roots.,x = 2/3 or x = -1/2,quadratic_equations|quadratic_formula|simplification|textbook_bootstrap,210,textbook_bootstrap
q_tb_quadratic_formula_001,ch_quadratic_equations,Quadratic Equations,c_quadratic_formula,Quadratic Formula,medium,algebraic,Solve 2x^2 - 7x + 3 = 0 using the quadratic formula.,x = 3 or x = 1/2,quadratic_equations|quadratic_formula|textbook_bootstrap,180,textbook_bootstrap
q_rn_003,ch_real_numbers,Real Numbers,c_decimal_expansions,Decimal Expansions of Rational Numbers,medium,classification,"Without performing long division, determine whether the decimal expansion of 13/160 is terminating or non-terminating recurring.",Terminating,real_numbers|decimals|classification,120,synthetic_curated
q_tb_decimal_expansions_001,ch_real_numbers,Real Numbers,c_decimal_expansions,Decimal Expansions of Rational Numbers,medium,classification,"Based on the NCERT section Revisiting Rational Numbers and Their Decimal Expansions, without long division, determine whether the decimal expansion of 13/96 is terminating or non-terminating recurring.",non-terminating recurring,real_numbers|decimal_expansion|classification|textbook_bootstrap,120,textbook_bootstrap
q_rn_001,ch_real_numbers,Real Numbers,c_euclid_division_lemma,Euclid Division Lemma,easy,short_answer,"Use Euclid's division lemma to express 455 in the form 42q + r, where 0 <= r < 42. Find q and r.","q = 10, r = 35",real_numbers|division_lemma|remainder,90,synthetic_curated
q_tb_euclid_division_lemma_001,ch_real_numbers,Real Numbers,c_euclid_division_lemma,Euclid Division Lemma,easy,short_answer,"Based on the NCERT section Introduction, use Euclid's division lemma to express 437 in the form 35q + r, where 0 <= r < 35. Find q and r.","q = 12, r = 17",real_numbers|division_lemma|textbook_variant|textbook_bootstrap,120,textbook_bootstrap
q_tb_fundamental_theorem_arithmetic_002,ch_real_numbers,Real Numbers,c_fundamental_theorem_arithmetic,Fundamental Theorem of Arithmetic,hard,reasoning,Why does the product of two positive integers have a unique prime factorisation apart from the order of the prime factors?,Because every composite number can be broken into primes uniquely up to order.,real_numbers|fundamental_theorem|reasoning|textbook_bootstrap,210,textbook_bootstrap
q_tb_fundamental_theorem_arithmetic_001,ch_real_numbers,Real Numbers,c_fundamental_theorem_arithmetic,Fundamental Theorem of Arithmetic,medium,numerical,Use prime factorisation to find the HCF and LCM of 72 and 120.,"HCF = 24, LCM = 360",real_numbers|prime_factorization|hcf_lcm|textbook_bootstrap,180,textbook_bootstrap
q_rn_005,ch_real_numbers,Real Numbers,c_hcf_lcm,HCF and LCM,hard,numerical,The HCF of 96 and 404 is 4. Use the relationship between HCF and LCM to find the LCM of the two numbers.,9696,real_numbers|lcm|relationship,150,synthetic_curated
q_rn_002,ch_real_numbers,Real Numbers,c_hcf_lcm,HCF and LCM,medium,numerical,Find the HCF of 867 and 255 using Euclid's algorithm.,51,real_numbers|hcf|euclid_algorithm,150,synthetic_curated
q_tb_hcf_lcm_001,ch_real_numbers,Real Numbers,c_hcf_lcm,HCF and LCM,medium,numerical,"Based on the NCERT section The Fundamental Theorem of Arithmetic, the HCF of 72 and 112 is 8. Use HCF x LCM = product of the numbers to find the LCM.",1008,real_numbers|hcf_lcm|product_relationship|textbook_bootstrap,120,textbook_bootstrap
q_rn_004,ch_real_numbers,Real Numbers,c_irrational_numbers,Irrational Numbers,hard,proof,Show that 5 + sqrt(3) is irrational.,5 + sqrt(3) is irrational.,real_numbers|irrational|proof,210,synthetic_curated
q_tb_irrational_numbers_001,ch_real_numbers,Real Numbers,c_irrational_numbers,Irrational Numbers,hard,proof,"Based on the NCERT section Revisiting Irrational Numbers, show that 3 + sqrt(2) is irrational.",3 + sqrt(2) is irrational.,real_numbers|irrational|proof|textbook_bootstrap,180,textbook_bootstrap
q_tb_grouped_data_mean_001,ch_statistics,Statistics,c_grouped_data_mean,Mean of Grouped Data,easy,statistics,"Find the mean of the grouped data with classes 0-10, 10-20, 20-30 and frequencies 5, 7, 8.",16.5,statistics|grouped_mean|textbook_bootstrap,180,textbook_bootstrap
q_tb_grouped_data_mean_002,ch_statistics,Statistics,c_grouped_data_mean,Mean of Grouped Data,medium,statistics,"Find the mean of the grouped data: class intervals 10-20, 20-30, 30-40, 40-50 with frequencies 4, 6, 10, 5.",31.4,statistics|grouped_mean|class_mark|textbook_bootstrap,180,textbook_bootstrap
q_tb_grouped_data_median_mode_001,ch_statistics,Statistics,c_grouped_data_median_mode,Median and Mode of Grouped Data,medium,statistics,"Find the mode of the grouped data: class intervals 0-10, 10-20, 20-30, 30-40, 40-50 with frequencies 3, 7, 12, 8, 5.",25.56 approximately,statistics|grouped_mode|textbook_bootstrap,210,textbook_bootstrap
q_tb_grouped_data_median_mode_002,ch_statistics,Statistics,c_grouped_data_median_mode,Median and Mode of Grouped Data,medium,statistics,"Find the median of the grouped data: class intervals 0-10, 10-20, 20-30, 30-40 with frequencies 5, 9, 7, 4.",18.33 approximately,statistics|grouped_median|textbook_bootstrap,210,textbook_bootstrap
q_tb_combination_solids_surface_area_002,ch_surface_areas_volumes,Surface Areas and Volumes,c_combination_solids_surface_area,Surface Area of Combined Solids,hard,numerical,A solid metallic object is formed by a cone of radius 3 cm and height 4 cm mounted on a hemisphere of radius 3 cm. Find its total external surface area in terms of pi.,33pi square cm,surface_areas_volumes|surface_area|combined_solids|textbook_bootstrap,210,textbook_bootstrap
q_tb_combination_solids_surface_area_001,ch_surface_areas_volumes,Surface Areas and Volumes,c_combination_solids_surface_area,Surface Area of Combined Solids,medium,numerical,"A toy is made by attaching a hemisphere of radius 3 cm on top of a cylinder of the same radius and height 6 cm. Find its external surface area, excluding the base touching the table.",54pi square cm,surface_areas_volumes|surface_area|textbook_bootstrap,180,textbook_bootstrap
q_tb_combination_solids_volume_002,ch_surface_areas_volumes,Surface Areas and Volumes,c_combination_solids_volume,Volume of Combined Solids,hard,application,A medicine capsule consists of a cylinder of height 14 mm with two hemispherical ends of radius 3 mm. Find its volume in cubic millimetres in terms of pi.,162pi cubic mm,surface_areas_volumes|volume|capsule|textbook_bootstrap,210,textbook_bootstrap
q_tb_combination_solids_volume_001,ch_surface_areas_volumes,Surface Areas and Volumes,c_combination_solids_volume,Volume of Combined Solids,medium,numerical,A solid is formed by a cylinder of radius 3 cm and height 10 cm with a cone of the same radius and height 4 cm on top. Find its volume.,102pi cubic cm,surface_areas_volumes|volume|textbook_bootstrap,180,textbook_bootstrap
q_tri_005,ch_triangles,Triangles,c_basic_proportionality_theorem,Basic Proportionality Theorem,hard,numerical,"In triangle ABC, D lies on AB and E lies on AC such that DE is parallel to BC. If AD = 3 cm, DB = x cm, AE = 4 cm, and EC = x + 2 cm, find x.",6,triangles|bpt|algebraic_reasoning,210,synthetic_curated
q_tb_basic_proportionality_theorem_001,ch_triangles,Triangles,c_basic_proportionality_theorem,Basic Proportionality Theorem,medium,numerical,"In triangle ABC, D lies on AB and E lies on AC. If DE is parallel to BC, AD = 3 cm, DB = 5 cm, and AE = 7.5 cm, find AC.",20 cm,triangles|bpt|parallel_lines|textbook_bootstrap,180,textbook_bootstrap
q_tri_002,ch_triangles,Triangles,c_basic_proportionality_theorem,Basic Proportionality Theorem,medium,numerical,"In triangle ABC, D lies on AB and E lies on AC. If DE is parallel to BC, AD = 3 cm, DB = 2 cm, and AE = 4.5 cm, find AC.",7.5 cm,triangles|bpt|parallel_lines,180,synthetic_curated
q_tb_pythagoras_theorem_001,ch_triangles,Triangles,c_pythagoras_theorem,Pythagoras Theorem,medium,numerical,A right triangle has legs 7 cm and 24 cm. Find the hypotenuse.,25 cm,triangles|pythagoras|right_triangle|textbook_bootstrap,120,textbook_bootstrap
q_tri_003,ch_triangles,Triangles,c_pythagoras_theorem,Pythagoras Theorem,medium,numerical,A right triangle has legs of length 9 cm and 12 cm. Find the length of the hypotenuse.,15 cm,triangles|pythagoras|right_triangle,120,synthetic_curated
q_tb_similar_triangles_001,ch_triangles,Triangles,c_similar_triangles,Similar Triangles,easy,reasoning,"The sides of one triangle are 5 cm, 12 cm, 13 cm. Another triangle has sides 15 cm, 36 cm, 39 cm. Are the triangles similar?","Yes, the triangles are similar.",triangles|similarity|sss|textbook_bootstrap,120,textbook_bootstrap
q_tri_001,ch_triangles,Triangles,c_similar_triangles,Similar Triangles,easy,reasoning,"The sides of two triangles are 6 cm, 8 cm, 10 cm and 9 cm, 12 cm, 15 cm. Are the triangles similar?","Yes, the triangles are similar.",triangles|similarity|sss,90,synthetic_curated
q_tb_similarity_area_ratio_001,ch_triangles,Triangles,c_similarity_area_ratio,Criteria for Similarity and Area Ratio,hard,application,"Two similar triangles have corresponding sides in the ratio 3:4. If the area of the smaller triangle is 27 cm^2, find the area of the larger triangle.",48 cm^2,triangles|similarity|area_ratio|textbook_bootstrap,180,textbook_bootstrap
q_tri_004,ch_triangles,Triangles,c_similarity_area_ratio,Criteria for Similarity and Area Ratio,hard,application,"Two similar triangles have corresponding side lengths in the ratio 3:5. If the area of the smaller triangle is 27 cm^2, find the area of the larger triangle.",75 cm^2,triangles|similarity|area_ratio,180,synthetic_curated
q_tb_heights_distances_001,ch_trigonometry,Introduction to Trigonometry,c_heights_distances,Heights and Distances,hard,application,"From a point on the ground 20 m away from the base of a tower, the angle of elevation of the top is 45 degrees. Find the height of the tower.",20 m,trigonometry|heights_distances|application|textbook_bootstrap,180,textbook_bootstrap
q_trig_004,ch_trigonometry,Introduction to Trigonometry,c_heights_distances,Heights and Distances,hard,application,"From a point on the ground 20 m away from the base of a tower, the angle of elevation of the top is 60 degrees. Find the height of the tower.",20*sqrt(3) m (approximately 34.64 m),trigonometry|heights_distances|application,210,synthetic_curated
q_tb_standard_trig_values_001,ch_trigonometry,Introduction to Trigonometry,c_standard_trig_values,Standard Trigonometric Values,easy,short_answer,Evaluate tan 45 degrees + sin 30 degrees.,3/2,trigonometry|standard_values|evaluation|textbook_bootstrap,90,textbook_bootstrap
q_trig_002,ch_trigonometry,Introduction to Trigonometry,c_standard_trig_values,Standard Trigonometric Values,easy,short_answer,"Write the values of sin 30 degrees, cos 60 degrees, and tan 45 degrees.","sin 30 degrees = 1/2, cos 60 degrees = 1/2, tan 45 degrees = 1",trigonometry|standard_values|angles,60,synthetic_curated
q_tb_trig_identities_001,ch_trigonometry,Introduction to Trigonometry,c_trig_identities,Trigonometric Identities,medium,verification,"If tan(theta) = 3/4, verify that 1 + tan^2(theta) = sec^2(theta).",Both sides equal 25/16,trigonometry|identity|verification|textbook_bootstrap,150,textbook_bootstrap
q_trig_003,ch_trigonometry,Introduction to Trigonometry,c_trig_identities,Trigonometric Identities,medium,verification,"If sin(theta) = 3/5 and cos(theta) = 4/5 for an acute angle theta, verify that 1 + tan^2(theta) = sec^2(theta).",Both sides equal 25/16,trigonometry|identity|verification,180,synthetic_curated
q_tb_trigonometric_ratios_001,ch_trigonometry,Introduction to Trigonometry,c_trigonometric_ratios,Trigonometric Ratios,easy,numerical,"In a right triangle, the side opposite theta is 5 cm and the adjacent side is 12 cm. Find sin(theta), cos(theta), and tan(theta).","sin(theta) = 5/13, cos(theta) = 12/13, tan(theta) = 5/12",trigonometry|ratios|right_triangle|textbook_bootstrap,150,textbook_bootstrap
q_trig_001,ch_trigonometry,Introduction to Trigonometry,c_trigonometric_ratios,Trigonometric Ratios,easy,numerical,"In a right triangle, the side opposite angle theta is 7 cm and the adjacent side is 24 cm. Find sin(theta), cos(theta), and tan(theta).","sin(theta) = 7/25, cos(theta) = 24/25, tan(theta) = 7/24",trigonometry|ratios|right_triangle,150,synthetic_curated
q_trig_005,ch_trigonometry,Introduction to Trigonometry,c_trigonometric_ratios,Trigonometric Ratios,medium,numerical,"If tan(theta) = 3/4 for an acute angle theta, find sin(theta) and cos(theta).","sin(theta) = 3/5, cos(theta) = 4/5",trigonometry|tan|ratio_conversion,120,synthetic_curated
