section_id,class_level,chapter_number,chapter_id,chapter_name,section_number,section_title,start_page,chapter_pdf_url,source_document,source_url,source_lines
ch_trigonometry::8.3,CBSE_10,8,ch_trigonometry,Introduction to Trigonometry,8.3,Trigonometric Ratios of Some Specific Angles,121,https://ncert.nic.in/textbook/pdf/jemh108.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L310-L311
ch_trigonometry::8.4,CBSE_10,8,ch_trigonometry,Introduction to Trigonometry,8.4,Trigonometric Identities,128,https://ncert.nic.in/textbook/pdf/jemh108.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L311-L312
ch_trigonometry::9.1,CBSE_10,9,ch_trigonometry,Introduction to Trigonometry,9.1,Heights and Distances,133,https://ncert.nic.in/textbook/pdf/jemh109.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L313-L315
ch_circles::10.1,CBSE_10,10,ch_circles,Circles,10.1,Introduction,144,https://ncert.nic.in/textbook/pdf/jemh110.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L316-L318
ch_circles::10.2,CBSE_10,10,ch_circles,Circles,10.2,Tangent to a Circle,145,https://ncert.nic.in/textbook/pdf/jemh110.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L318-L319
ch_circles::10.3,CBSE_10,10,ch_circles,Circles,10.3,Number of Tangents from a Point on a Circle,147,https://ncert.nic.in/textbook/pdf/jemh110.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L319-L320
ch_areas_related_to_circles::11.1,CBSE_10,11,ch_areas_related_to_circles,Areas Related to Circles,11.1,Areas of Sector and Segment of a Circle,154,https://ncert.nic.in/textbook/pdf/jemh111.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L321-L323
ch_surface_areas_volumes::12.1,CBSE_10,12,ch_surface_areas_volumes,Surface Areas and Volumes,12.1,Introduction,161,https://ncert.nic.in/textbook/pdf/jemh112.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L325-L327
ch_surface_areas_volumes::12.2,CBSE_10,12,ch_surface_areas_volumes,Surface Areas and Volumes,12.2,Surface Area of a Combination of Solids,162,https://ncert.nic.in/textbook/pdf/jemh112.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L327-L328
ch_surface_areas_volumes::12.3,CBSE_10,12,ch_surface_areas_volumes,Surface Areas and Volumes,12.3,Volume of a Combination of Solids,167,https://ncert.nic.in/textbook/pdf/jemh112.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L328-L329
ch_statistics::13.1,CBSE_10,13,ch_statistics,Statistics,13.1,Introduction,171,https://ncert.nic.in/textbook/pdf/jemh113.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L330-L332
ch_statistics::13.2,CBSE_10,13,ch_statistics,Statistics,13.2,Mean of Grouped Data,171,https://ncert.nic.in/textbook/pdf/jemh113.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L332-L333
ch_statistics::13.3,CBSE_10,13,ch_statistics,Statistics,13.3,Mode of Grouped Data,183,https://ncert.nic.in/textbook/pdf/jemh113.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L333-L334
ch_statistics::13.4,CBSE_10,13,ch_statistics,Statistics,13.4,Median of Grouped Data,188,https://ncert.nic.in/textbook/pdf/jemh113.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L334-L335
ch_probability::14.1,CBSE_10,14,ch_probability,Probability,14.1,Probability — A Theoretical Approach,202,https://ncert.nic.in/textbook/pdf/jemh114.pdf,NCERT Mathematics Textbook for Class X (Contents),https://ncert.nic.in/textbook/pdf/jemh1ps.pdf,L336-L338
