content_id,class_level,chapter_id,chapter_name,concept_id,concept_name,title,content_type,summary_text,official_syllabus_text,textbook_sections,textbook_section_ids,source_document,source_url
curriculum_note::c_pair_linear_equations_algebraic,CBSE_10,ch_pair_linear_equations,Pair of Linear Equations in Two Variables,c_pair_linear_equations_algebraic,Algebraic Methods for Pair of Linear Equations,Theory Note: Algebraic Methods for Pair of Linear Equations,syllabus_textbook_grounded,"Algebraic Methods for Pair of Linear Equations belongs to the NCERT Class X chapter Pair of Linear Equations in Two Variables. The official syllabus expects students to solve two-variable linear systems algebraically and in context. In the NCERT textbook, this aligns with Algebraic Methods of Solving a Pair of Linear Equations. Graphical solution, consistency or inconsistency, substitution, elimination, and simple situational problems. Core concept description: Solve linear systems by substitution or elimination and apply them in simple situational problems.","Graphical solution, consistency or inconsistency, substitution, elimination, and simple situational problems.",Algebraic Methods of Solving a Pair of Linear Equations,ch_pair_linear_equations::3.3,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_pair_linear_equations_consistency,CBSE_10,ch_pair_linear_equations,Pair of Linear Equations in Two Variables,c_pair_linear_equations_consistency,Consistency and Number of Solutions,Theory Note: Consistency and Number of Solutions,syllabus_textbook_grounded,"Consistency and Number of Solutions belongs to the NCERT Class X chapter Pair of Linear Equations in Two Variables. The official syllabus expects students to classify a pair of equations by its number of solutions. In the NCERT textbook, this aligns with Graphical Method of Solution of a Pair of Linear Equations, Algebraic Methods of Solving a Pair of Linear Equations. Graphical solution, consistency or inconsistency, substitution, elimination, and simple situational problems. Core concept description: Use coefficient conditions and graph interpretation to determine whether a system is consistent, inconsistent, or dependent.","Graphical solution, consistency or inconsistency, substitution, elimination, and simple situational problems.",Graphical Method of Solution of a Pair of Linear Equations|Algebraic Methods of Solving a Pair of Linear Equations,ch_pair_linear_equations::3.2|ch_pair_linear_equations::3.3,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_pair_linear_equations_graphical,CBSE_10,ch_pair_linear_equations,Pair of Linear Equations in Two Variables,c_pair_linear_equations_graphical,Graphical Solution of Pair of Linear Equations,Theory Note: Graphical Solution of Pair of Linear Equations,syllabus_textbook_grounded,"Graphical Solution of Pair of Linear Equations belongs to the NCERT Class X chapter Pair of Linear Equations in Two Variables. The official syllabus expects students to use graphs to solve linear systems and interpret geometric meaning. In the NCERT textbook, this aligns with Graphical Method of Solution of a Pair of Linear Equations. Graphical solution, consistency or inconsistency, substitution, elimination, and simple situational problems. Core concept description: Represent two linear equations on the Cartesian plane and interpret their point of intersection.","Graphical solution, consistency or inconsistency, substitution, elimination, and simple situational problems.",Graphical Method of Solution of a Pair of Linear Equations,ch_pair_linear_equations::3.2,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_factorisation_remainder,CBSE_10,ch_polynomials,Polynomials,c_factorisation_remainder,Factorisation and Remainder Theorem,Theory Note: Factorisation and Remainder Theorem,syllabus_textbook_grounded,"Factorisation and Remainder Theorem belongs to the NCERT Class X chapter Polynomials. The official syllabus expects students to test factors efficiently while linking factorization to roots. In the NCERT textbook, this aligns with Division Algorithm for Polynomials. Zeros of a polynomial and relationship between zeroes and coefficients of quadratic polynomials. Core concept description: Use polynomial evaluation and factor checks as a supporting skill for zero-based reasoning.",Zeros of a polynomial and relationship between zeroes and coefficients of quadratic polynomials.,Division Algorithm for Polynomials,ch_polynomials::2.4,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_polynomial_degree_terms,CBSE_10,ch_polynomials,Polynomials,c_polynomial_degree_terms,Polynomial Degree and Terms,Theory Note: Polynomial Degree and Terms,syllabus_textbook_grounded,"Polynomial Degree and Terms belongs to the NCERT Class X chapter Polynomials. The official syllabus expects students to read polynomial structure before applying class x zero-based reasoning. In the NCERT textbook, this aligns with Introduction to Polynomials. Zeros of a polynomial and relationship between zeroes and coefficients of quadratic polynomials. Core concept description: Review polynomial vocabulary including terms, coefficients, and degree as scaffolding for root analysis.",Zeros of a polynomial and relationship between zeroes and coefficients of quadratic polynomials.,Introduction to Polynomials,ch_polynomials::2.1,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_zero_coeff_relationship,CBSE_10,ch_polynomials,Polynomials,c_zero_coeff_relationship,Relationship Between Zeroes and Coefficients,Theory Note: Relationship Between Zeroes and Coefficients,syllabus_textbook_grounded,"Relationship Between Zeroes and Coefficients belongs to the NCERT Class X chapter Polynomials. The official syllabus expects students to construct or analyze quadratic polynomials using root-coefficient relationships. In the NCERT textbook, this aligns with Relationship between Zeroes and Coefficients of a Polynomial. Zeros of a polynomial and relationship between zeroes and coefficients of quadratic polynomials. Core concept description: Use the sum and product of zeroes to connect quadratic roots with coefficients.",Zeros of a polynomial and relationship between zeroes and coefficients of quadratic polynomials.,Relationship between Zeroes and Coefficients of a Polynomial,ch_polynomials::2.3,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_zeroes_of_polynomial,CBSE_10,ch_polynomials,Polynomials,c_zeroes_of_polynomial,Zeroes of a Polynomial,Theory Note: Zeroes of a Polynomial,syllabus_textbook_grounded,"Zeroes of a Polynomial belongs to the NCERT Class X chapter Polynomials. The official syllabus expects students to compute and reason about polynomial zeroes from algebraic forms. In the NCERT textbook, this aligns with Geometrical Meaning of the Zeroes of a Polynomial. Zeros of a polynomial and relationship between zeroes and coefficients of quadratic polynomials. Core concept description: Find and interpret the zeroes of a polynomial in line with the official Class X syllabus.",Zeros of a polynomial and relationship between zeroes and coefficients of quadratic polynomials.,Geometrical Meaning of the Zeroes of a Polynomial,ch_polynomials::2.2,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_classical_probability,CBSE_10,ch_probability,Probability,c_classical_probability,Classical Probability,Theory Note: Classical Probability,syllabus_textbook_grounded,"Classical Probability belongs to the NCERT Class X chapter Probability. The official syllabus expects students to solve introductory probability problems using the classical definition. In the NCERT textbook, this aligns with Probability — A Theoretical Approach. Classical definition of probability and simple event problems. Core concept description: Use favorable outcomes over total equally likely outcomes to compute simple probabilities.",Classical definition of probability and simple event problems.,Probability — A Theoretical Approach,ch_probability::14.1,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_discriminant_nature_roots,CBSE_10,ch_quadratic_equations,Quadratic Equations,c_discriminant_nature_roots,Discriminant and Nature of Roots,Theory Note: Discriminant and Nature of Roots,syllabus_textbook_grounded,"Discriminant and Nature of Roots belongs to the NCERT Class X chapter Quadratic Equations. The official syllabus expects students to relate discriminant value to the nature of quadratic roots. In the NCERT textbook, this aligns with Nature of Roots. Standard form, factorization, quadratic formula, discriminant, and situational problems. Core concept description: Use the discriminant to infer whether a quadratic equation has distinct, repeated, or no real roots.","Standard form, factorization, quadratic formula, discriminant, and situational problems.",Nature of Roots,ch_quadratic_equations::4.4,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_quadratic_applications,CBSE_10,ch_quadratic_equations,Quadratic Equations,c_quadratic_applications,Situational Problems on Quadratic Equations,Theory Note: Situational Problems on Quadratic Equations,syllabus_textbook_grounded,"Situational Problems on Quadratic Equations belongs to the NCERT Class X chapter Quadratic Equations. The official syllabus expects students to model simple real-life situations using quadratic equations. In the NCERT textbook, this aligns with Quadratic Equations, Solution of a Quadratic Equation by Factorisation, Nature of Roots. Standard form, factorization, quadratic formula, discriminant, and situational problems. Core concept description: Translate day-to-day contexts into quadratic equations and solve them with an appropriate method.","Standard form, factorization, quadratic formula, discriminant, and situational problems.",Quadratic Equations|Solution of a Quadratic Equation by Factorisation|Nature of Roots,ch_quadratic_equations::4.2|ch_quadratic_equations::4.3|ch_quadratic_equations::4.4,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_quadratic_factorization,CBSE_10,ch_quadratic_equations,Quadratic Equations,c_quadratic_factorization,Quadratic Equations by Factorization,Theory Note: Quadratic Equations by Factorization,syllabus_textbook_grounded,"Quadratic Equations by Factorization belongs to the NCERT Class X chapter Quadratic Equations. The official syllabus expects students to solve suitable quadratic equations by factorization. In the NCERT textbook, this aligns with Quadratic Equations, Solution of a Quadratic Equation by Factorisation. Standard form, factorization, quadratic formula, discriminant, and situational problems. Core concept description: Solve quadratic equations with real roots by expressing the polynomial as a product of linear factors.","Standard form, factorization, quadratic formula, discriminant, and situational problems.",Quadratic Equations|Solution of a Quadratic Equation by Factorisation,ch_quadratic_equations::4.2|ch_quadratic_equations::4.3,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_quadratic_formula,CBSE_10,ch_quadratic_equations,Quadratic Equations,c_quadratic_formula,Quadratic Formula,Theory Note: Quadratic Formula,syllabus_textbook_grounded,"Quadratic Formula belongs to the NCERT Class X chapter Quadratic Equations. The official syllabus expects students to apply the quadratic formula accurately to class x equations. In the NCERT textbook, this aligns with Quadratic Equations. Standard form, factorization, quadratic formula, discriminant, and situational problems. Core concept description: Use the quadratic formula to solve any quadratic equation with real roots in standard form.","Standard form, factorization, quadratic formula, discriminant, and situational problems.",Quadratic Equations,ch_quadratic_equations::4.2,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_decimal_expansions,CBSE_10,ch_real_numbers,Real Numbers,c_decimal_expansions,Decimal Expansions of Rational Numbers,Theory Note: Decimal Expansions of Rational Numbers,syllabus_textbook_grounded,"Decimal Expansions of Rational Numbers belongs to the NCERT Class X chapter Real Numbers. The official syllabus expects students to explain decimal behavior of rational numbers from prime factors of the denominator. In the NCERT textbook, this aligns with Revisiting Rational Numbers and Their Decimal Expansions. Fundamental Theorem of Arithmetic, irrationality, and decimal expansions of rational numbers. Core concept description: Classify rational numbers by terminating or recurring decimal expansion through denominator factorization.","Fundamental Theorem of Arithmetic, irrationality, and decimal expansions of rational numbers.",Revisiting Rational Numbers and Their Decimal Expansions,ch_real_numbers::1.4,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_euclid_division_lemma,CBSE_10,ch_real_numbers,Real Numbers,c_euclid_division_lemma,Euclid Division Lemma,Theory Note: Euclid Division Lemma,syllabus_textbook_grounded,"Euclid Division Lemma belongs to the NCERT Class X chapter Real Numbers. The official syllabus expects students to use euclid-style quotient and remainder decomposition as a bridge into hcf computations. In the NCERT textbook, this aligns with Introduction. Fundamental Theorem of Arithmetic, irrationality, and decimal expansions of rational numbers. Core concept description: Represent an integer as a = bq + r and use that decomposition to support HCF reasoning.","Fundamental Theorem of Arithmetic, irrationality, and decimal expansions of rational numbers.",Introduction,ch_real_numbers::1.1,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_fundamental_theorem_arithmetic,CBSE_10,ch_real_numbers,Real Numbers,c_fundamental_theorem_arithmetic,Fundamental Theorem of Arithmetic,Theory Note: Fundamental Theorem of Arithmetic,syllabus_textbook_grounded,"Fundamental Theorem of Arithmetic belongs to the NCERT Class X chapter Real Numbers. The official syllabus expects students to apply prime factorization as the central theorem for class x real-number reasoning. In the NCERT textbook, this aligns with The Fundamental Theorem of Arithmetic. Fundamental Theorem of Arithmetic, irrationality, and decimal expansions of rational numbers. Core concept description: Use unique prime factorization to reason about divisibility, HCF, LCM, and denominator structure.","Fundamental Theorem of Arithmetic, irrationality, and decimal expansions of rational numbers.",The Fundamental Theorem of Arithmetic,ch_real_numbers::1.2,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_hcf_lcm,CBSE_10,ch_real_numbers,Real Numbers,c_hcf_lcm,HCF and LCM,Theory Note: HCF and LCM,syllabus_textbook_grounded,"HCF and LCM belongs to the NCERT Class X chapter Real Numbers. The official syllabus expects students to compute hcf and lcm using theorem-based number reasoning. In the NCERT textbook, this aligns with The Fundamental Theorem of Arithmetic. Fundamental Theorem of Arithmetic, irrationality, and decimal expansions of rational numbers. Core concept description: Connect prime factorization and algorithmic reasoning to highest common factor and least common multiple.","Fundamental Theorem of Arithmetic, irrationality, and decimal expansions of rational numbers.",The Fundamental Theorem of Arithmetic,ch_real_numbers::1.2,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_irrational_numbers,CBSE_10,ch_real_numbers,Real Numbers,c_irrational_numbers,Irrational Numbers,Theory Note: Irrational Numbers,syllabus_textbook_grounded,"Irrational Numbers belongs to the NCERT Class X chapter Real Numbers. The official syllabus expects students to distinguish rational and irrational numbers with proof-oriented reasoning. In the NCERT textbook, this aligns with Revisiting Irrational Numbers. Fundamental Theorem of Arithmetic, irrationality, and decimal expansions of rational numbers. Core concept description: Use contradiction-based arguments to show that selected numbers are irrational.","Fundamental Theorem of Arithmetic, irrationality, and decimal expansions of rational numbers.",Revisiting Irrational Numbers,ch_real_numbers::1.3,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_grouped_data_mean,CBSE_10,ch_statistics,Statistics,c_grouped_data_mean,Mean of Grouped Data,Theory Note: Mean of Grouped Data,syllabus_textbook_grounded,"Mean of Grouped Data belongs to the NCERT Class X chapter Statistics. The official syllabus expects students to find the average of grouped data correctly. In the NCERT textbook, this aligns with Mean of Grouped Data. Mean, median and mode of grouped data. Core concept description: Compute the mean of grouped data using tabular methods appropriate for Class X.","Mean, median and mode of grouped data.",Mean of Grouped Data,ch_statistics::13.2,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_grouped_data_median_mode,CBSE_10,ch_statistics,Statistics,c_grouped_data_median_mode,Median and Mode of Grouped Data,Theory Note: Median and Mode of Grouped Data,syllabus_textbook_grounded,"Median and Mode of Grouped Data belongs to the NCERT Class X chapter Statistics. The official syllabus expects students to compute median and mode of grouped data and interpret them. In the NCERT textbook, this aligns with Mode of Grouped Data, Median of Grouped Data. Mean, median and mode of grouped data. Core concept description: Use the grouped-data formulas for median and mode, excluding bimodal cases as specified by CBSE.","Mean, median and mode of grouped data.",Mode of Grouped Data|Median of Grouped Data,ch_statistics::13.3|ch_statistics::13.4,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_combination_solids_surface_area,CBSE_10,ch_surface_areas_volumes,Surface Areas and Volumes,c_combination_solids_surface_area,Surface Area of Combined Solids,Theory Note: Surface Area of Combined Solids,syllabus_textbook_grounded,"Surface Area of Combined Solids belongs to the NCERT Class X chapter Surface Areas and Volumes. The official syllabus expects students to set up and evaluate surface-area expressions for composite solids. In the NCERT textbook, this aligns with Surface Area of a Combination of Solids. Surface area and volume of combinations of two standard solids. Core concept description: Compute external surface area when two standard solids are combined into one object.",Surface area and volume of combinations of two standard solids.,Surface Area of a Combination of Solids,ch_surface_areas_volumes::12.2,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_combination_solids_volume,CBSE_10,ch_surface_areas_volumes,Surface Areas and Volumes,c_combination_solids_volume,Volume of Combined Solids,Theory Note: Volume of Combined Solids,syllabus_textbook_grounded,"Volume of Combined Solids belongs to the NCERT Class X chapter Surface Areas and Volumes. The official syllabus expects students to calculate volume of combined solids accurately. In the NCERT textbook, this aligns with Volume of a Combination of Solids. Surface area and volume of combinations of two standard solids. Core concept description: Compute volume for composite solids formed from two standard Class X solid figures.",Surface area and volume of combinations of two standard solids.,Volume of a Combination of Solids,ch_surface_areas_volumes::12.3,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_basic_proportionality_theorem,CBSE_10,ch_triangles,Triangles,c_basic_proportionality_theorem,Basic Proportionality Theorem,Theory Note: Basic Proportionality Theorem,syllabus_textbook_grounded,"Basic Proportionality Theorem belongs to the NCERT Class X chapter Triangles. The official syllabus expects students to use bpt and its converse to solve segment-length problems in triangles. In the NCERT textbook, this aligns with Similarity of Triangles, Criteria for Similarity of Triangles. Similar triangles, Basic Proportionality Theorem and converse, and similarity criteria. Core concept description: If a line is drawn parallel to one side of a triangle, it divides the other two sides in the same ratio.","Similar triangles, Basic Proportionality Theorem and converse, and similarity criteria.",Similarity of Triangles|Criteria for Similarity of Triangles,ch_triangles::6.3|ch_triangles::6.4,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_pythagoras_theorem,CBSE_10,ch_triangles,Triangles,c_pythagoras_theorem,Pythagoras Theorem,Theory Note: Pythagoras Theorem,syllabus_textbook_grounded,"Pythagoras Theorem belongs to the NCERT Class X chapter Triangles. The official syllabus expects students to compute unknown side lengths in right triangles. In the NCERT textbook, this aligns with Introduction, Similar Figures. Similar triangles, Basic Proportionality Theorem and converse, and similarity criteria. Core concept description: Use right-triangle side relationships as a supporting skill for geometry and trigonometry problems.","Similar triangles, Basic Proportionality Theorem and converse, and similarity criteria.",Introduction|Similar Figures,ch_triangles::6.1|ch_triangles::6.2,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
curriculum_note::c_similar_triangles,CBSE_10,ch_triangles,Triangles,c_similar_triangles,Similar Triangles,Theory Note: Similar Triangles,syllabus_textbook_grounded,"Similar Triangles belongs to the NCERT Class X chapter Triangles. The official syllabus expects students to apply the class x similarity criteria to establish triangle similarity. In the NCERT textbook, this aligns with Similar Figures, Similarity of Triangles. Similar triangles, Basic Proportionality Theorem and converse, and similarity criteria. Core concept description: Identify and justify similarity between triangles from equal angles or proportional sides.","Similar triangles, Basic Proportionality Theorem and converse, and similarity criteria.",Similar Figures|Similarity of Triangles,ch_triangles::6.2|ch_triangles::6.3,CBSE Mathematics (IX-X) Code No. 041 Session 2024-25,https://cbseacademic.nic.in/web_material/CurriculumMain25/Sec/Maths_Sec_2024-25.pdf
