question_id,final_answer,worked_solution,explanation_style
q_rn_002,51,"Apply repeated division: 867 = 255 x 3 + 102, 255 = 102 x 2 + 51, and 102 = 51 x 2 + 0. The last non-zero remainder is 51, so the HCF is 51.",stepwise
q_rn_003,Terminating,Factor the denominator: 160 = 2^5 x 5. A rational number has a terminating decimal if the denominator in lowest form has only 2s and 5s as prime factors. Therefore 13/160 has a terminating decimal expansion.,stepwise
q_rn_004,5 + sqrt(3) is irrational.,"Assume 5 + sqrt(3) is rational. Then subtracting 5, which is rational, would imply sqrt(3) is rational. But sqrt(3) is irrational. This contradiction shows that 5 + sqrt(3) must be irrational.",proof
q_rn_005,9696,"For two positive integers, HCF x LCM = product of the numbers. So LCM = (96 x 404) / 4 = 38784 / 4 = 9696.",stepwise
q_tb_ap_applications_001,510,"The number of seats forms an AP with a = 20, d = 2, and n = 15. So S_15 = 15/2 [2(20) + 14 x 2] = 15/2 (40 + 28) = 15/2 x 68 = 510.",textbook_bootstrap
q_tb_ap_applications_002,670 rupees,"Savings form an A.P. with a = 5, d = 3, and n = 20. Then S_20 = 20/2 [2 x 5 + 19 x 3] = 10(10 + 57) = 670. So the child saves Rs 670 in 20 days.",textbook_bootstrap
q_tb_ap_nth_term_001,63,Here a = 7 and d = 4. The nth term is a_n = a + (n - 1)d. So a_15 = 7 + 14 x 4 = 63.,textbook_bootstrap
q_tb_ap_nth_term_002,25th term,"Here a = 5 and d = 4. Let the required term be the nth term. Then 101 = 5 + (n - 1)4. So 96 = 4(n - 1), hence n - 1 = 24 and n = 25.",textbook_bootstrap
q_tb_ap_sum_001,820,"Here a = 3, d = 4 and n = 20. The 20th term is 3 + 19 x 4 = 79. Then S_20 = n/2 [2a + (n - 1)d] = 20/2 [6 + 76] = 10 x 82 = 820.",textbook_bootstrap
q_tb_ap_sum_002,1395,"The multiples of 3 form an A.P. with a = 3, d = 3, and n = 30. So S_30 = 30/2 [2 x 3 + 29 x 3] = 15(6 + 87) = 15 x 93 = 1395.",textbook_bootstrap
q_tb_circle_perimeter_area_applications_001,72 cm,Perimeter of the semicircular figure = semicircular arc + diameter = pi r + 2r = 22/7 x 14 + 28 = 44 + 28 = 72 cm.,textbook_bootstrap
q_tb_circle_perimeter_area_applications_002,50 cm,Perimeter of a quadrant = arc length of one-fourth of a circle + two radii = (1/4)(2pi r) + 2r = (1/2)pi r + 2r = 22 + 28 = 50 cm.,textbook_bootstrap
q_tb_classical_probability_001,1/3,"Possible outcomes are 1, 2, 3, 4, 5, 6. Numbers greater than 4 are 5 and 6, so favorable outcomes = 2. Therefore probability = 2/6 = 1/3.",textbook_bootstrap
q_tb_classical_probability_002,1/13,There are 52 equally likely outcomes and 4 favorable outcomes because there are 4 kings in a deck. So the probability is 4/52 = 1/13.,textbook_bootstrap
q_tb_classical_probability_003,9/20,"Multiples of 3 are 3, 6, 9, 12, 15, 18 and multiples of 5 are 5, 10, 15, 20. Counting without repetition gives favorable outcomes 3, 5, 6, 9, 10, 12, 15, 18, 20, that is 9 outcomes. So probability = 9/20.",textbook_bootstrap
q_tb_combination_solids_surface_area_001,54pi square cm,External surface area = curved surface area of hemisphere + curved surface area of cylinder = 2pi r^2 + 2pi rh = 2pi x 3^2 + 2pi x 3 x 6 = 18pi + 36pi = 54pi square cm.,textbook_bootstrap
q_tb_combination_solids_surface_area_002,33pi square cm,Slant height of cone = sqrt(3^2 + 4^2) = 5 cm. External surface area = curved surface area of cone + curved surface area of hemisphere = pi r l + 2pi r^2 = pi x 3 x 5 + 2pi x 3^2 = 15pi + 18pi = 33pi square cm.,textbook_bootstrap
q_tb_combination_solids_volume_001,102pi cubic cm,Volume = volume of cylinder + volume of cone = pi r^2 h + (1/3)pi r^2 h = pi x 3^2 x 10 + (1/3)pi x 3^2 x 4 = 90pi + 12pi = 102pi cubic cm.,textbook_bootstrap
q_tb_combination_solids_volume_002,162pi cubic mm,The two hemispheres together make one sphere of radius 3 mm. Volume = volume of cylinder + volume of sphere = pi x 3^2 x 14 + (4/3)pi x 3^3 = 126pi + 36pi = 162pi cubic mm.,textbook_bootstrap
q_tb_discriminant_nature_roots_001,Discriminant = 1; roots are two distinct real roots,"For a = 3, b = -5, c = 2, the discriminant is D = b^2 - 4ac = 25 - 24 = 1. Since D is positive, the equation has two distinct real roots.",textbook_bootstrap
q_tb_discriminant_nature_roots_002,Real and equal roots,Here D = b^2 - 4ac = 4^2 - 4 x 4 x 1 = 16 - 16 = 0. Therefore the quadratic has real and equal roots.,textbook_bootstrap
q_tb_fundamental_theorem_arithmetic_001,"HCF = 24, LCM = 360",Prime factorise: 72 = 2^3 x 3^2 and 120 = 2^3 x 3 x 5. The HCF is the product of the smallest powers of common primes: 2^3 x 3 = 24. The LCM is the product of the greatest powers of all involved primes: 2^3 x 3^2 x 5 = 360.,textbook_bootstrap
q_tb_fundamental_theorem_arithmetic_002,Because every composite number can be broken into primes uniquely up to order.,"The Fundamental Theorem of Arithmetic states that every composite number can be expressed as a product of primes, and this factorisation is unique except for the order of the primes. This is why prime factorisation gives consistent HCF and LCM results.",textbook_bootstrap
q_tb_grouped_data_mean_001,16.5,"Class marks are 5, 15 and 25. Then sum(fx) = 5x5 + 7x15 + 8x25 = 25 + 105 + 200 = 330. Total frequency is 20. Mean = 330/20 = 16.5.",textbook_bootstrap
q_tb_grouped_data_mean_002,31.4,"Class marks are 15, 25, 35 and 45. Sum(fx) = 4x15 + 6x25 + 10x35 + 5x45 = 60 + 150 + 350 + 225 = 785. Total frequency = 25. Mean = 785/25 = 31.4.",textbook_bootstrap
q_tb_grouped_data_median_mode_001,25.56 approximately,"The modal class is 20-30 because it has the highest frequency 12. Using Mode = l + [(f1 - f0)/(2f1 - f0 - f2)] x h with l = 20, h = 10, f1 = 12, f0 = 7 and f2 = 8, Mode = 20 + (5/9) x 10 = 25.56 approximately.",textbook_bootstrap
q_tb_grouped_data_median_mode_002,18.33 approximately,"Total frequency N = 25, so N/2 = 12.5. Cumulative frequencies are 5, 14, 21, 25, so the median class is 10-20. Using Median = l + [(N/2 - cf)/f] x h with l = 10, cf = 5, f = 9, h = 10, Median = 10 + (7.5/9) x 10 = 18.33 approximately.",textbook_bootstrap
q_tb_pair_linear_equations_algebraic_001,"x = 4, y = 3","Add the equations: (2x + y) + (x - y) = 11 + 1, so 3x = 12 and x = 4. Substitute into x - y = 1 to get 4 - y = 1, hence y = 3.",textbook_bootstrap
q_tb_pair_linear_equations_algebraic_002,16 correct and 4 wrong,"Let correct answers be x and wrong answers be y. Then x + y = 20 and 3x - y = 44. Adding gives 4x = 64, so x = 16. Then y = 4.",textbook_bootstrap
q_tb_pair_linear_equations_consistency_001,Infinitely many solutions,"For a1/a2 = 2/1 = 2, b1/b2 = 4/2 = 2, and c1/c2 = -6/-3 = 2. Since all three ratios are equal, the two equations represent the same line. Hence the pair has infinitely many solutions.",textbook_bootstrap
q_tb_pair_linear_equations_consistency_002,Inconsistent; no solution,"Here a1/a2 = 3/6 = 1/2 and b1/b2 = 2/4 = 1/2, but c1/c2 = 8/9 is not equal to 1/2. So the lines are parallel and distinct. Hence the pair is inconsistent and has no solution.",textbook_bootstrap
q_tb_pair_linear_equations_graphical_001,"(3, 2)","The two lines intersect where both equations are satisfied. Adding the equations gives 2x = 6, so x = 3. Substituting into x + y = 5 gives y = 2. Therefore the lines intersect at (3, 2).",textbook_bootstrap
q_tb_pair_linear_equations_graphical_002,"(3, 1); it is the common point satisfying both equations.","Add the equations to eliminate y: 3x = 9, so x = 3. Then 3 - y = 2 gives y = 1. On the graph, the lines meet at (3, 1), which is the ordered pair satisfying both equations simultaneously.",textbook_bootstrap
q_tb_quadratic_applications_001,8 and 9,"Let the smaller integer be x. Then x(x + 1) = 72, so x^2 + x - 72 = 0. Factorising gives (x + 9)(x - 8) = 0, so x = 8 or x = -9. Since the integers are positive, they are 8 and 9.",textbook_bootstrap
q_tb_quadratic_applications_002,"Breadth = 5 m, Length = 12 m","Let the breadth be x m. Then length = x + 7 and x(x + 7) = 60, so x^2 + 7x - 60 = 0. Factorising gives (x + 12)(x - 5) = 0. So x = 5, since length and breadth are positive. Hence breadth = 5 m and length = 12 m.",textbook_bootstrap
q_tb_quadratic_factorization_001,x = 4 or x = 5,Factorise x^2 - 9x + 20 as (x - 4)(x - 5) = 0. Therefore x = 4 or x = 5.,textbook_bootstrap
q_tb_quadratic_factorization_002,x = 3 or x = 4/3,"Split the middle term: 3x^2 - 9x - 4x + 12 = 0. Then 3x(x - 3) - 4(x - 3) = 0, so (3x - 4)(x - 3) = 0. Hence x = 4/3 or x = 3.",textbook_bootstrap
q_tb_quadratic_formula_001,x = 3 or x = 1/2,"Here a = 2, b = -7, c = 3. Using x = [-b +/- sqrt(b^2 - 4ac)]/(2a), x = [7 +/- sqrt(49 - 24)]/4 = [7 +/- 5]/4. Hence x = 3 or x = 1/2.",textbook_bootstrap
q_tb_quadratic_formula_002,x = 2/3 or x = -1/2,"For a = 6, b = -1, c = -2, D = 1 + 48 = 49. Therefore x = [1 +/- 7]/12, giving x = 8/12 = 2/3 or x = -6/12 = -1/2.",textbook_bootstrap
q_tb_sectors_segments_001,49pi/4 square cm,Area of a sector = (theta/360) x pi r^2. So the area is (90/360) x pi x 7^2 = 49pi/4 square cm.,textbook_bootstrap
q_tb_sectors_segments_002,44/3 cm,Arc length = (theta/360) x 2pi r = (60/360) x 2 x 22/7 x 14 = 44/3 cm.,textbook_bootstrap
q_tb_tangent_radius_perpendicular_001,90 degrees,The radius through the point of contact is perpendicular to the tangent. Therefore angle OPT = 90 degrees.,textbook_bootstrap
q_tb_tangent_radius_perpendicular_002,The radius to the point of contact is perpendicular to the tangent.,"A tangent touches the circle at exactly one point. The shortest distance from the centre to the tangent is along the perpendicular. Since the radius to the point of contact gives this shortest distance, it is perpendicular to the tangent.",textbook_bootstrap
q_tb_tangents_from_external_point_001,12 cm,Tangents drawn from an external point to a circle are equal in length. Hence PB = PA = 12 cm.,textbook_bootstrap
q_tb_tangents_from_external_point_002,110 degrees,"OA is perpendicular to PA and OB is perpendicular to PB. In quadrilateral OAPB, angles at A and B are 90 degrees each. Therefore angle AOB + angle APB + 90 + 90 = 360. So angle AOB = 360 - 250 = 110 degrees.",textbook_bootstrap
q_tri_001,"Yes, the triangles are similar.","Compare corresponding sides: 9/6 = 12/8 = 15/10 = 3/2. Since all three side ratios are equal, the triangles are similar by the SSS similarity criterion.",stepwise
q_tri_002,7.5 cm,"Since DE || BC, triangle ADE is similar to triangle ABC. Therefore AD/AB = AE/AC. Here AB = AD + DB = 5 cm. So 3/5 = 4.5/AC, giving AC = (4.5 x 5)/3 = 7.5 cm.",stepwise
q_tri_003,15 cm,"Using Pythagoras theorem, hypotenuse^2 = 9^2 + 12^2 = 81 + 144 = 225. So the hypotenuse is sqrt(225) = 15 cm.",stepwise
q_tri_004,75 cm^2,"For similar triangles, the ratio of areas equals the square of the ratio of corresponding sides. So smaller:larger area = 3^2:5^2 = 9:25. If 9 parts correspond to 27 cm^2, then 1 part is 3 cm^2, and 25 parts correspond to 75 cm^2.",stepwise
q_tri_005,6,"Since DE || BC, the intercepted sides are proportional, so AD/DB = AE/EC. Substitute the given values: 3/x = 4/(x + 2). Cross-multiplying gives 3x + 6 = 4x, hence x = 6.",stepwise
q_trig_001,"sin(theta) = 7/25, cos(theta) = 24/25, tan(theta) = 7/24","First find the hypotenuse using Pythagoras theorem: sqrt(7^2 + 24^2) = sqrt(49 + 576) = sqrt(625) = 25. Then sin(theta) = opposite/hypotenuse = 7/25, cos(theta) = adjacent/hypotenuse = 24/25, and tan(theta) = opposite/adjacent = 7/24.",stepwise
q_trig_002,"sin 30 degrees = 1/2, cos 60 degrees = 1/2, tan 45 degrees = 1","These are standard trigonometric values: sin 30 degrees = 1/2, cos 60 degrees = 1/2, and tan 45 degrees = 1.",stepwise
q_trig_003,Both sides equal 25/16,"Compute tan(theta) = sin(theta)/cos(theta) = (3/5)/(4/5) = 3/4. Then 1 + tan^2(theta) = 1 + 9/16 = 25/16. Also sec(theta) = 1/cos(theta) = 5/4, so sec^2(theta) = 25/16. Hence the identity is verified.",stepwise
q_trig_004,20*sqrt(3) m (approximately 34.64 m),"Let the height of the tower be h. Using tan 60 degrees = h/20 and tan 60 degrees = sqrt(3), we get h = 20*sqrt(3) m, which is approximately 34.64 m.",stepwise
q_trig_005,"sin(theta) = 3/5, cos(theta) = 4/5",Take the opposite and adjacent sides as 3 and 4. Then the hypotenuse is 5 by the Pythagorean triple 3-4-5. Therefore sin(theta) = 3/5 and cos(theta) = 4/5.,stepwise
