chunk_id,chunk_type,source_id,chapter_id,chapter_name,concept_id,concept_name,difficulty,title,content,search_text,doc_id
theory::c_pair_linear_equations_consistency,theory,c_pair_linear_equations_consistency,ch_pair_linear_equations,Pair of Linear Equations in Two Variables,c_pair_linear_equations_consistency,Consistency and Number of Solutions,medium,Theory: Consistency and Number of Solutions,"Concept: Consistency and Number of Solutions. Description: Use coefficient conditions and graph interpretation to determine whether a system is consistent, inconsistent, or dependent.. Learning objective: Classify a pair of equations by its number of solutions.. Tags: consistency, solution_count, coefficients","Theory: Consistency and Number of Solutions Pair of Linear Equations in Two Variables Consistency and Number of Solutions medium Concept: Consistency and Number of Solutions. Description: Use coefficient conditions and graph interpretation to determine whether a system is consistent, inconsistent, or dependent.. Learning objective: Classify a pair of equations by its number of solutions.. Tags: consistency, solution_count, coefficients",theory::c_pair_linear_equations_consistency
theory::c_pair_linear_equations_algebraic,theory,c_pair_linear_equations_algebraic,ch_pair_linear_equations,Pair of Linear Equations in Two Variables,c_pair_linear_equations_algebraic,Algebraic Methods for Pair of Linear Equations,medium,Theory: Algebraic Methods for Pair of Linear Equations,"Concept: Algebraic Methods for Pair of Linear Equations. Description: Solve linear systems by substitution or elimination and apply them in simple situational problems.. Learning objective: Solve two-variable linear systems algebraically and in context.. Tags: substitution, elimination, applications","Theory: Algebraic Methods for Pair of Linear Equations Pair of Linear Equations in Two Variables Algebraic Methods for Pair of Linear Equations medium Concept: Algebraic Methods for Pair of Linear Equations. Description: Solve linear systems by substitution or elimination and apply them in simple situational problems.. Learning objective: Solve two-variable linear systems algebraically and in context.. Tags: substitution, elimination, applications",theory::c_pair_linear_equations_algebraic
theory::c_quadratic_factorization,theory,c_quadratic_factorization,ch_quadratic_equations,Quadratic Equations,c_quadratic_factorization,Quadratic Equations by Factorization,easy,Theory: Quadratic Equations by Factorization,"Concept: Quadratic Equations by Factorization. Description: Solve quadratic equations with real roots by expressing the polynomial as a product of linear factors.. Learning objective: Solve suitable quadratic equations by factorization.. Tags: factorization, real_roots, quadratics","Theory: Quadratic Equations by Factorization Quadratic Equations Quadratic Equations by Factorization easy Concept: Quadratic Equations by Factorization. Description: Solve quadratic equations with real roots by expressing the polynomial as a product of linear factors.. Learning objective: Solve suitable quadratic equations by factorization.. Tags: factorization, real_roots, quadratics",theory::c_quadratic_factorization
theory::c_quadratic_formula,theory,c_quadratic_formula,ch_quadratic_equations,Quadratic Equations,c_quadratic_formula,Quadratic Formula,medium,Theory: Quadratic Formula,"Concept: Quadratic Formula. Description: Use the quadratic formula to solve any quadratic equation with real roots in standard form.. Learning objective: Apply the quadratic formula accurately to Class X equations.. Tags: formula, standard_form, quadratics","Theory: Quadratic Formula Quadratic Equations Quadratic Formula medium Concept: Quadratic Formula. Description: Use the quadratic formula to solve any quadratic equation with real roots in standard form.. Learning objective: Apply the quadratic formula accurately to Class X equations.. Tags: formula, standard_form, quadratics",theory::c_quadratic_formula
theory::c_discriminant_nature_roots,theory,c_discriminant_nature_roots,ch_quadratic_equations,Quadratic Equations,c_discriminant_nature_roots,Discriminant and Nature of Roots,medium,Theory: Discriminant and Nature of Roots,"Concept: Discriminant and Nature of Roots. Description: Use the discriminant to infer whether a quadratic equation has distinct, repeated, or no real roots.. Learning objective: Relate discriminant value to the nature of quadratic roots.. Tags: discriminant, root_nature, quadratics","Theory: Discriminant and Nature of Roots Quadratic Equations Discriminant and Nature of Roots medium Concept: Discriminant and Nature of Roots. Description: Use the discriminant to infer whether a quadratic equation has distinct, repeated, or no real roots.. Learning objective: Relate discriminant value to the nature of quadratic roots.. Tags: discriminant, root_nature, quadratics",theory::c_discriminant_nature_roots
theory::c_quadratic_applications,theory,c_quadratic_applications,ch_quadratic_equations,Quadratic Equations,c_quadratic_applications,Situational Problems on Quadratic Equations,hard,Theory: Situational Problems on Quadratic Equations,"Concept: Situational Problems on Quadratic Equations. Description: Translate day-to-day contexts into quadratic equations and solve them with an appropriate method.. Learning objective: Model simple real-life situations using quadratic equations.. Tags: word_problems, modelling, applications","Theory: Situational Problems on Quadratic Equations Quadratic Equations Situational Problems on Quadratic Equations hard Concept: Situational Problems on Quadratic Equations. Description: Translate day-to-day contexts into quadratic equations and solve them with an appropriate method.. Learning objective: Model simple real-life situations using quadratic equations.. Tags: word_problems, modelling, applications",theory::c_quadratic_applications
theory::c_ap_nth_term,theory,c_ap_nth_term,ch_arithmetic_progressions,Arithmetic Progressions,c_ap_nth_term,Nth Term of an Arithmetic Progression,easy,Theory: Nth Term of an Arithmetic Progression,"Concept: Nth Term of an Arithmetic Progression. Description: Use the common difference and first term to derive or compute the nth term of an A.P.. Learning objective: Find any requested term in an arithmetic progression.. Tags: ap, nth_term, sequence","Theory: Nth Term of an Arithmetic Progression Arithmetic Progressions Nth Term of an Arithmetic Progression easy Concept: Nth Term of an Arithmetic Progression. Description: Use the common difference and first term to derive or compute the nth term of an A.P.. Learning objective: Find any requested term in an arithmetic progression.. Tags: ap, nth_term, sequence",theory::c_ap_nth_term
theory::c_ap_sum,theory,c_ap_sum,ch_arithmetic_progressions,Arithmetic Progressions,c_ap_sum,Sum of First n Terms of an Arithmetic Progression,medium,Theory: Sum of First n Terms of an Arithmetic Progression,"Concept: Sum of First n Terms of an Arithmetic Progression. Description: Derive and use the sum formula for the first n terms of an arithmetic progression.. Learning objective: Compute cumulative totals in an arithmetic progression.. Tags: ap, sum, series","Theory: Sum of First n Terms of an Arithmetic Progression Arithmetic Progressions Sum of First n Terms of an Arithmetic Progression medium Concept: Sum of First n Terms of an Arithmetic Progression. Description: Derive and use the sum formula for the first n terms of an arithmetic progression.. Learning objective: Compute cumulative totals in an arithmetic progression.. Tags: ap, sum, series",theory::c_ap_sum
theory::c_ap_applications,theory,c_ap_applications,ch_arithmetic_progressions,Arithmetic Progressions,c_ap_applications,Applications of Arithmetic Progressions,medium,Theory: Applications of Arithmetic Progressions,"Concept: Applications of Arithmetic Progressions. Description: Model and solve daily-life problems whose structure follows an arithmetic progression.. Learning objective: Translate contextual patterns into A.P. terms or sums.. Tags: ap, applications, modelling","Theory: Applications of Arithmetic Progressions Arithmetic Progressions Applications of Arithmetic Progressions medium Concept: Applications of Arithmetic Progressions. Description: Model and solve daily-life problems whose structure follows an arithmetic progression.. Learning objective: Translate contextual patterns into A.P. terms or sums.. Tags: ap, applications, modelling",theory::c_ap_applications
theory::c_distance_formula,theory,c_distance_formula,ch_coordinate_geometry,Coordinate Geometry,c_distance_formula,Distance Formula,easy,Theory: Distance Formula,"Concept: Distance Formula. Description: Compute the distance between two points in the Cartesian plane using the standard formula.. Learning objective: Apply the distance formula accurately in coordinate problems.. Tags: distance, coordinates","Theory: Distance Formula Coordinate Geometry Distance Formula easy Concept: Distance Formula. Description: Compute the distance between two points in the Cartesian plane using the standard formula.. Learning objective: Apply the distance formula accurately in coordinate problems.. Tags: distance, coordinates",theory::c_distance_formula
theory::c_section_formula,theory,c_section_formula,ch_coordinate_geometry,Coordinate Geometry,c_section_formula,Section Formula,medium,Theory: Section Formula,"Concept: Section Formula. Description: Find the point that divides a line segment internally in a given ratio.. Learning objective: Use weighted averages to locate an internal division point.. Tags: section_formula, ratio, coordinates","Theory: Section Formula Coordinate Geometry Section Formula medium Concept: Section Formula. Description: Find the point that divides a line segment internally in a given ratio.. Learning objective: Use weighted averages to locate an internal division point.. Tags: section_formula, ratio, coordinates",theory::c_section_formula
theory::c_area_of_triangle,theory,c_area_of_triangle,ch_coordinate_geometry,Coordinate Geometry,c_area_of_triangle,Area of a Triangle in Coordinates,medium,Theory: Area of a Triangle in Coordinates,"Concept: Area of a Triangle in Coordinates. Description: Use coordinate area reasoning to compute triangle area or check collinearity as an applied extension.. Learning objective: Use coordinate-based area reasoning in triangle problems.. Tags: triangle_area, coordinates, collinearity","Theory: Area of a Triangle in Coordinates Coordinate Geometry Area of a Triangle in Coordinates medium Concept: Area of a Triangle in Coordinates. Description: Use coordinate area reasoning to compute triangle area or check collinearity as an applied extension.. Learning objective: Use coordinate-based area reasoning in triangle problems.. Tags: triangle_area, coordinates, collinearity",theory::c_area_of_triangle
theory::c_similar_triangles,theory,c_similar_triangles,ch_triangles,Triangles,c_similar_triangles,Similar Triangles,easy,Theory: Similar Triangles,"Concept: Similar Triangles. Description: Identify and justify similarity between triangles from equal angles or proportional sides.. Learning objective: Apply the Class X similarity criteria to establish triangle similarity.. Tags: similarity, criteria, proof","Theory: Similar Triangles Triangles Similar Triangles easy Concept: Similar Triangles. Description: Identify and justify similarity between triangles from equal angles or proportional sides.. Learning objective: Apply the Class X similarity criteria to establish triangle similarity.. Tags: similarity, criteria, proof",theory::c_similar_triangles
theory::c_basic_proportionality_theorem,theory,c_basic_proportionality_theorem,ch_triangles,Triangles,c_basic_proportionality_theorem,Basic Proportionality Theorem,medium,Theory: Basic Proportionality Theorem,"Concept: Basic Proportionality Theorem. Description: If a line is drawn parallel to one side of a triangle, it divides the other two sides in the same ratio.. Learning objective: Use BPT and its converse to solve segment-length problems in triangles.. Tags: bpt, parallel_lines, proportion","Theory: Basic Proportionality Theorem Triangles Basic Proportionality Theorem medium Concept: Basic Proportionality Theorem. Description: If a line is drawn parallel to one side of a triangle, it divides the other two sides in the same ratio.. Learning objective: Use BPT and its converse to solve segment-length problems in triangles.. Tags: bpt, parallel_lines, proportion",theory::c_basic_proportionality_theorem
theory::c_pythagoras_theorem,theory,c_pythagoras_theorem,ch_triangles,Triangles,c_pythagoras_theorem,Pythagoras Theorem,medium,Theory: Pythagoras Theorem,"Concept: Pythagoras Theorem. Description: Use right-triangle side relationships as a supporting skill for geometry and trigonometry problems.. Learning objective: Compute unknown side lengths in right triangles.. Tags: pythagoras, right_triangle, bridge_skill","Theory: Pythagoras Theorem Triangles Pythagoras Theorem medium Concept: Pythagoras Theorem. Description: Use right-triangle side relationships as a supporting skill for geometry and trigonometry problems.. Learning objective: Compute unknown side lengths in right triangles.. Tags: pythagoras, right_triangle, bridge_skill",theory::c_pythagoras_theorem
theory::c_similarity_area_ratio,theory,c_similarity_area_ratio,ch_triangles,Triangles,c_similarity_area_ratio,Criteria for Similarity and Area Ratio,hard,Theory: Criteria for Similarity and Area Ratio,"Concept: Criteria for Similarity and Area Ratio. Description: Extend similarity reasoning to area ratios and proof-oriented questions on corresponding parts.. Learning objective: Connect side-ratio similarity to area scaling arguments.. Tags: similarity, area_ratio, proof","Theory: Criteria for Similarity and Area Ratio Triangles Criteria for Similarity and Area Ratio hard Concept: Criteria for Similarity and Area Ratio. Description: Extend similarity reasoning to area ratios and proof-oriented questions on corresponding parts.. Learning objective: Connect side-ratio similarity to area scaling arguments.. Tags: similarity, area_ratio, proof",theory::c_similarity_area_ratio
theory::c_tangent_radius_perpendicular,theory,c_tangent_radius_perpendicular,ch_circles,Circles,c_tangent_radius_perpendicular,Tangent Perpendicular to Radius,easy,Theory: Tangent Perpendicular to Radius,"Concept: Tangent Perpendicular to Radius. Description: Use the theorem that the tangent at a point of a circle is perpendicular to the radius through that point.. Learning objective: Apply the tangent-radius perpendicular theorem in proofs.. Tags: tangent, radius, proof","Theory: Tangent Perpendicular to Radius Circles Tangent Perpendicular to Radius easy Concept: Tangent Perpendicular to Radius. Description: Use the theorem that the tangent at a point of a circle is perpendicular to the radius through that point.. Learning objective: Apply the tangent-radius perpendicular theorem in proofs.. Tags: tangent, radius, proof",theory::c_tangent_radius_perpendicular
theory::c_tangents_from_external_point,theory,c_tangents_from_external_point,ch_circles,Circles,c_tangents_from_external_point,Tangents from an External Point,medium,Theory: Tangents from an External Point,"Concept: Tangents from an External Point. Description: Use the theorem that tangents drawn from an external point to a circle are equal in length.. Learning objective: Solve equal-tangent problems from an external point.. Tags: tangent_lengths, circles, theorem","Theory: Tangents from an External Point Circles Tangents from an External Point medium Concept: Tangents from an External Point. Description: Use the theorem that tangents drawn from an external point to a circle are equal in length.. Learning objective: Solve equal-tangent problems from an external point.. Tags: tangent_lengths, circles, theorem",theory::c_tangents_from_external_point
theory::c_trigonometric_ratios,theory,c_trigonometric_ratios,ch_trigonometry,Introduction to Trigonometry,c_trigonometric_ratios,Trigonometric Ratios,easy,Theory: Trigonometric Ratios,"Concept: Trigonometric Ratios. Description: Define sine, cosine, tangent and related ratios for an acute angle in a right-angled triangle.. Learning objective: Compute and interpret trigonometric ratios from triangle sides.. Tags: sin, cos, tan","Theory: Trigonometric Ratios Introduction to Trigonometry Trigonometric Ratios easy Concept: Trigonometric Ratios. Description: Define sine, cosine, tangent and related ratios for an acute angle in a right-angled triangle.. Learning objective: Compute and interpret trigonometric ratios from triangle sides.. Tags: sin, cos, tan",theory::c_trigonometric_ratios
theory::c_standard_trig_values,theory,c_standard_trig_values,ch_trigonometry,Introduction to Trigonometry,c_standard_trig_values,Standard Trigonometric Values,easy,Theory: Standard Trigonometric Values,"Concept: Standard Trigonometric Values. Description: Recall the exact trigonometric values at 30, 45 and 60 degrees within the official syllabus.. Learning objective: Use standard angle values quickly in evaluation and simplification problems.. Tags: standard_values, acute_angles, trigonometry","Theory: Standard Trigonometric Values Introduction to Trigonometry Standard Trigonometric Values easy Concept: Standard Trigonometric Values. Description: Recall the exact trigonometric values at 30, 45 and 60 degrees within the official syllabus.. Learning objective: Use standard angle values quickly in evaluation and simplification problems.. Tags: standard_values, acute_angles, trigonometry",theory::c_standard_trig_values
theory::c_trig_identities,theory,c_trig_identities,ch_trigonometry,Introduction to Trigonometry,c_trig_identities,Trigonometric Identities,medium,Theory: Trigonometric Identities,"Concept: Trigonometric Identities. Description: Use sin^2 A + cos^2 A = 1 and simple derived identities in proof and simplification tasks.. Learning objective: Verify and apply simple Class X trigonometric identities.. Tags: identities, proof, simplification","Theory: Trigonometric Identities Introduction to Trigonometry Trigonometric Identities medium Concept: Trigonometric Identities. Description: Use sin^2 A + cos^2 A = 1 and simple derived identities in proof and simplification tasks.. Learning objective: Verify and apply simple Class X trigonometric identities.. Tags: identities, proof, simplification",theory::c_trig_identities
theory::c_heights_distances,theory,c_heights_distances,ch_trigonometry,Introduction to Trigonometry,c_heights_distances,Heights and Distances,hard,Theory: Heights and Distances,"Concept: Heights and Distances. Description: Solve simple elevation and depression problems using one or two right triangles and standard angles.. Learning objective: Model height-and-distance situations with trigonometric ratios.. Tags: elevation, depression, applications","Theory: Heights and Distances Introduction to Trigonometry Heights and Distances hard Concept: Heights and Distances. Description: Solve simple elevation and depression problems using one or two right triangles and standard angles.. Learning objective: Model height-and-distance situations with trigonometric ratios.. Tags: elevation, depression, applications",theory::c_heights_distances
theory::c_sectors_segments,theory,c_sectors_segments,ch_areas_related_to_circles,Areas Related to Circles,c_sectors_segments,Sectors and Segments of a Circle,medium,Theory: Sectors and Segments of a Circle,"Concept: Sectors and Segments of a Circle. Description: Compute areas of sectors and segments, with Class X restrictions on common central angles for segment problems.. Learning objective: Calculate sector and segment areas in circle-based plane figures.. Tags: sector, segment, area","Theory: Sectors and Segments of a Circle Areas Related to Circles Sectors and Segments of a Circle medium Concept: Sectors and Segments of a Circle. Description: Compute areas of sectors and segments, with Class X restrictions on common central angles for segment problems.. Learning objective: Calculate sector and segment areas in circle-based plane figures.. Tags: sector, segment, area",theory::c_sectors_segments
theory::c_circle_perimeter_area_applications,theory,c_circle_perimeter_area_applications,ch_areas_related_to_circles,Areas Related to Circles,c_circle_perimeter_area_applications,Perimeter and Area Applications on Circle Figures,hard,Theory: Perimeter and Area Applications on Circle Figures,"Concept: Perimeter and Area Applications on Circle Figures. Description: Solve perimeter or circumference and area problems on figures built from arcs, sectors, and segments.. Learning objective: Handle combined area-perimeter reasoning in circle-based figures.. Tags: circumference, perimeter, applications","Theory: Perimeter and Area Applications on Circle Figures Areas Related to Circles Perimeter and Area Applications on Circle Figures hard Concept: Perimeter and Area Applications on Circle Figures. Description: Solve perimeter or circumference and area problems on figures built from arcs, sectors, and segments.. Learning objective: Handle combined area-perimeter reasoning in circle-based figures.. Tags: circumference, perimeter, applications",theory::c_circle_perimeter_area_applications
theory::c_combination_solids_surface_area,theory,c_combination_solids_surface_area,ch_surface_areas_volumes,Surface Areas and Volumes,c_combination_solids_surface_area,Surface Area of Combined Solids,medium,Theory: Surface Area of Combined Solids,"Concept: Surface Area of Combined Solids. Description: Compute external surface area when two standard solids are combined into one object.. Learning objective: Set up and evaluate surface-area expressions for composite solids.. Tags: surface_area, composite_solids, mensuration","Theory: Surface Area of Combined Solids Surface Areas and Volumes Surface Area of Combined Solids medium Concept: Surface Area of Combined Solids. Description: Compute external surface area when two standard solids are combined into one object.. Learning objective: Set up and evaluate surface-area expressions for composite solids.. Tags: surface_area, composite_solids, mensuration",theory::c_combination_solids_surface_area
theory::c_combination_solids_volume,theory,c_combination_solids_volume,ch_surface_areas_volumes,Surface Areas and Volumes,c_combination_solids_volume,Volume of Combined Solids,medium,Theory: Volume of Combined Solids,"Concept: Volume of Combined Solids. Description: Compute volume for composite solids formed from two standard Class X solid figures.. Learning objective: Calculate volume of combined solids accurately.. Tags: volume, composite_solids, mensuration","Theory: Volume of Combined Solids Surface Areas and Volumes Volume of Combined Solids medium Concept: Volume of Combined Solids. Description: Compute volume for composite solids formed from two standard Class X solid figures.. Learning objective: Calculate volume of combined solids accurately.. Tags: volume, composite_solids, mensuration",theory::c_combination_solids_volume
theory::c_grouped_data_mean,theory,c_grouped_data_mean,ch_statistics,Statistics,c_grouped_data_mean,Mean of Grouped Data,easy,Theory: Mean of Grouped Data,"Concept: Mean of Grouped Data. Description: Compute the mean of grouped data using tabular methods appropriate for Class X.. Learning objective: Find the average of grouped data correctly.. Tags: mean, grouped_data, statistics","Theory: Mean of Grouped Data Statistics Mean of Grouped Data easy Concept: Mean of Grouped Data. Description: Compute the mean of grouped data using tabular methods appropriate for Class X.. Learning objective: Find the average of grouped data correctly.. Tags: mean, grouped_data, statistics",theory::c_grouped_data_mean
theory::c_grouped_data_median_mode,theory,c_grouped_data_median_mode,ch_statistics,Statistics,c_grouped_data_median_mode,Median and Mode of Grouped Data,medium,Theory: Median and Mode of Grouped Data,"Concept: Median and Mode of Grouped Data. Description: Use the grouped-data formulas for median and mode, excluding bimodal cases as specified by CBSE.. Learning objective: Compute median and mode of grouped data and interpret them.. Tags: median, mode, grouped_data","Theory: Median and Mode of Grouped Data Statistics Median and Mode of Grouped Data medium Concept: Median and Mode of Grouped Data. Description: Use the grouped-data formulas for median and mode, excluding bimodal cases as specified by CBSE.. Learning objective: Compute median and mode of grouped data and interpret them.. Tags: median, mode, grouped_data",theory::c_grouped_data_median_mode
theory::c_classical_probability,theory,c_classical_probability,ch_probability,Probability,c_classical_probability,Classical Probability,easy,Theory: Classical Probability,"Concept: Classical Probability. Description: Use favorable outcomes over total equally likely outcomes to compute simple probabilities.. Learning objective: Solve introductory probability problems using the classical definition.. Tags: equally_likely, event, probability","Theory: Classical Probability Probability Classical Probability easy Concept: Classical Probability. Description: Use favorable outcomes over total equally likely outcomes to compute simple probabilities.. Learning objective: Solve introductory probability problems using the classical definition.. Tags: equally_likely, event, probability",theory::c_classical_probability
curriculum_note::c_circle_perimeter_area_applications,syllabus_textbook_grounded,curriculum_note::c_circle_perimeter_area_applications,ch_areas_related_to_circles,Areas Related to Circles,c_circle_perimeter_area_applications,Perimeter and Area Applications on Circle Figures,medium,Theory Note: Perimeter and Area Applications on Circle Figures,"Summary: Perimeter and Area Applications on Circle Figures belongs to the NCERT Class X chapter Areas Related to Circles. The official syllabus expects students to handle combined area-perimeter reasoning in circle-based figures. In the NCERT textbook, this aligns with Areas of Sector and Segment of a Circle. Area of sectors and segments, plus perimeter and area problems on related plane figures. Core concept description: Solve perimeter or circumference and area problems on figures built from arcs, sectors, and segments.. Official syllabus: Area of sectors and segments, plus perimeter and area problems on related plane figures.. Textbook sections: Areas of Sector and Segment of a Circle","Theory Note: Perimeter and Area Applications on Circle Figures Areas Related to Circles Perimeter and Area Applications on Circle Figures medium Summary: Perimeter and Area Applications on Circle Figures belongs to the NCERT Class X chapter Areas Related to Circles. The official syllabus expects students to handle combined area-perimeter reasoning in circle-based figures. In the NCERT textbook, this aligns with Areas of Sector and Segment of a Circle. Area of sectors and segments, plus perimeter and area problems on related plane figures. Core concept description: Solve perimeter or circumference and area problems on figures built from arcs, sectors, and segments.. Official syllabus: Area of sectors and segments, plus perimeter and area problems on related plane figures.. Textbook sections: Areas of Sector and Segment of a Circle",curriculum_note::c_circle_perimeter_area_applications
