attempt_id,user_id,simulation_step,timestamp,question_id,concept_id,concept_name,chapter_name,difficulty,correct,response_time_sec,expected_time_sec,source
student_cbse_01_attempt_034,student_cbse_01,34,2026-03-01T23:54:00,q_tb_tangent_radius_perpendicular_001,c_tangent_radius_perpendicular,Tangent Perpendicular to Radius,Circles,easy,1,49,60,simulated
student_cbse_01_attempt_035,student_cbse_01,35,2026-03-02T00:35:00,q_tb_tangents_from_external_point_001,c_tangents_from_external_point,Tangents from an External Point,Circles,medium,0,47,60,simulated
student_cbse_01_attempt_036,student_cbse_01,36,2026-03-02T01:15:00,q_tb_trig_identities_001,c_trig_identities,Trigonometric Identities,Introduction to Trigonometry,medium,0,101,150,simulated
student_cbse_01_attempt_037,student_cbse_01,37,2026-03-02T01:54:00,q_tb_trigonometric_ratios_001,c_trigonometric_ratios,Trigonometric Ratios,Introduction to Trigonometry,easy,1,123,150,simulated
student_cbse_01_attempt_038,student_cbse_01,38,2026-03-02T02:29:00,q_poly_006,c_zero_coeff_relationship,Relationship Between Zeroes and Coefficients,Polynomials,hard,0,107,120,simulated
student_cbse_01_attempt_039,student_cbse_01,39,2026-03-02T02:53:00,q_poly_002,c_zeroes_of_polynomial,Zeroes of a Polynomial,Polynomials,easy,1,51,90,simulated
student_cbse_01_attempt_040,student_cbse_01,40,2026-03-02T03:28:00,q_tb_fundamental_theorem_arithmetic_001,c_fundamental_theorem_arithmetic,Fundamental Theorem of Arithmetic,Real Numbers,medium,1,138,180,simulated
student_cbse_01_attempt_041,student_cbse_01,41,2026-03-02T03:50:00,q_tri_004,c_similarity_area_ratio,Criteria for Similarity and Area Ratio,Triangles,hard,1,179,180,simulated
student_cbse_01_attempt_042,student_cbse_01,42,2026-03-02T04:29:00,q_tb_combination_solids_volume_002,c_combination_solids_volume,Volume of Combined Solids,Surface Areas and Volumes,hard,0,200,210,simulated
student_cbse_01_attempt_043,student_cbse_01,43,2026-03-02T04:58:00,q_tb_distance_formula_001,c_distance_formula,Distance Formula,Coordinate Geometry,easy,1,51,90,simulated
student_cbse_01_attempt_044,student_cbse_01,44,2026-03-02T05:25:00,q_tb_pair_linear_equations_consistency_002,c_pair_linear_equations_consistency,Consistency and Number of Solutions,Pair of Linear Equations in Two Variables,medium,1,117,150,simulated
student_cbse_01_attempt_045,student_cbse_01,45,2026-03-02T05:58:00,q_tb_similarity_area_ratio_001,c_similarity_area_ratio,Criteria for Similarity and Area Ratio,Triangles,hard,0,169,180,simulated
student_cbse_01_attempt_046,student_cbse_01,46,2026-03-02T06:36:00,q_tb_circle_perimeter_area_applications_001,c_circle_perimeter_area_applications,Perimeter and Area Applications on Circle Figures,Areas Related to Circles,hard,0,153,150,simulated
student_cbse_01_attempt_047,student_cbse_01,47,2026-03-02T06:56:00,q_tb_basic_proportionality_theorem_001,c_basic_proportionality_theorem,Basic Proportionality Theorem,Triangles,medium,0,157,180,simulated
student_cbse_01_attempt_048,student_cbse_01,48,2026-03-02T07:18:00,q_tb_combination_solids_volume_001,c_combination_solids_volume,Volume of Combined Solids,Surface Areas and Volumes,medium,1,178,180,simulated
student_cbse_01_attempt_049,student_cbse_01,49,2026-03-02T07:36:00,q_tb_classical_probability_003,c_classical_probability,Classical Probability,Probability,medium,0,117,150,simulated
student_cbse_01_attempt_050,student_cbse_01,50,2026-03-02T08:01:00,q_tb_pair_linear_equations_consistency_002,c_pair_linear_equations_consistency,Consistency and Number of Solutions,Pair of Linear Equations in Two Variables,medium,0,124,150,simulated
student_cbse_01_attempt_051,student_cbse_01,51,2026-03-02T08:33:00,q_tb_pair_linear_equations_algebraic_001,c_pair_linear_equations_algebraic,Algebraic Methods for Pair of Linear Equations,Pair of Linear Equations in Two Variables,medium,0,142,150,simulated
student_cbse_01_attempt_052,student_cbse_01,52,2026-03-02T09:06:00,q_tb_pair_linear_equations_algebraic_002,c_pair_linear_equations_algebraic,Algebraic Methods for Pair of Linear Equations,Pair of Linear Equations in Two Variables,hard,0,184,210,simulated
student_cbse_01_attempt_053,student_cbse_01,53,2026-03-02T09:43:00,q_tb_classical_probability_001,c_classical_probability,Classical Probability,Probability,easy,1,85,90,simulated
student_cbse_01_attempt_054,student_cbse_01,54,2026-03-02T10:12:00,q_tb_quadratic_applications_001,c_quadratic_applications,Situational Problems on Quadratic Equations,Quadratic Equations,hard,1,173,210,simulated
student_cbse_01_attempt_055,student_cbse_01,55,2026-03-02T10:53:00,q_tb_quadratic_formula_002,c_quadratic_formula,Quadratic Formula,Quadratic Equations,hard,1,215,210,simulated
student_cbse_01_attempt_056,student_cbse_01,56,2026-03-02T11:14:00,q_trig_005,c_trigonometric_ratios,Trigonometric Ratios,Introduction to Trigonometry,medium,0,88,120,simulated
student_cbse_01_attempt_057,student_cbse_01,57,2026-03-02T11:51:00,q_tb_combination_solids_volume_001,c_combination_solids_volume,Volume of Combined Solids,Surface Areas and Volumes,medium,0,153,180,simulated
student_cbse_01_attempt_058,student_cbse_01,58,2026-03-02T12:20:00,q_tb_fundamental_theorem_arithmetic_002,c_fundamental_theorem_arithmetic,Fundamental Theorem of Arithmetic,Real Numbers,hard,0,191,210,simulated
student_cbse_01_attempt_059,student_cbse_01,59,2026-03-02T12:42:00,q_trig_001,c_trigonometric_ratios,Trigonometric Ratios,Introduction to Trigonometry,easy,0,105,150,simulated
student_cbse_01_attempt_060,student_cbse_01,60,2026-03-02T13:21:00,q_cg_001,c_distance_formula,Distance Formula,Coordinate Geometry,easy,1,49,90,simulated
